Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.538 0.556 2794.352 3825.022 0.010 100.000 30.000 1000.000 4328.793 
0.538 0.556 3825.022 4999.915 0.010 100.000 40.000 1000.000 5879.287 
0.556 0.576 2.057 16.235 0.010 37.927 1.000 7.000 14.977 
0.556 0.576 16.235 27.663 0.010 61.585 1.000 10.000 30.877 
0.556 0.576 27.663 40.170 0.010 37.927 1.000 10.000 46.265 
0.556 0.576 40.170 53.725 0.010 100.000 1.000 20.000 61.896 
0.556 0.576 53.725 69.260 0.010 100.000 1.000 30.000 80.025 
0.556 0.576 69.260 88.182 0.010 61.585 1.000 30.000 102.211 
0.556 0.576 88.182 114.177 0.010 100.000 1.000 50.000 129.369 
0.556 0.576 114.177 155.669 0.010 100.000 1.000 70.000 178.237 
0.556 0.576 155.669 214.206 0.010 100.000 2.000 90.000 244.038 
0.556 0.576 214.206 299.457 0.010 100.000 2.000 100.000 338.199 
0.556 0.576 299.457 406.963 0.010 100.000 4.000 100.000 467.776 
0.556 0.576 406.963 528.749 0.010 100.000 4.000 200.000 619.085 
0.556 0.576 528.749 667.432 0.010 100.000 5.000 300.000 777.259 
0.556 0.576 667.432 836.908 0.010 100.000 7.000 300.000 981.750 
0.556 0.576 836.908 1078.523 0.010 100.000 8.000 500.000 1238.357 
0.556 0.576 1078.523 1459.752 0.010 100.000 10.000 700.000 1633.429 
0.556 0.576 1459.752 2008.696 0.010 100.000 20.000 800.000 2317.535 
0.556 0.576 2008.696 2800.368 0.010 100.000 20.000 1000.000 3243.229 
0.556 0.576 2800.368 3830.092 0.010 100.000 30.000 1000.000 4387.449 
0.556 0.576 3830.092 4999.994 0.010 100.000 40.000 1000.000 5811.185 
0.576 0.597 1.885 16.800 0.010 23.357 1.000 7.000 15.059 
0.576 0.597 16.800 28.381 0.010 37.927 1.000 10.000 30.901 
0.576 0.597 28.381 40.803 0.010 61.585 1.000 10.000 45.851 
0.576 0.597 40.803 54.480 0.010 100.000 1.000 20.000 63.401 
0.576 0.597 54.480 70.035 0.010 100.000 1.000 30.000 81.796 
0.576 0.597 70.035 88.211 0.010 100.000 1.000 40.000 100.413 
0.576 0.597 88.211 114.662 0.010 100.000 1.000 50.000 133.421 
0.576 0.597 114.662 156.848 0.010 100.000 2.000 70.000 176.393 
0.576 0.597 156.848 216.230 0.010 100.000 2.000 90.000 240.745 
