Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.576 0.598 54.585 70.035 0.010 61.585 1.000 30.000 63.499 
0.576 0.598 70.153 88.199 0.010 100.000 1.000 30.000 93.011 
0.576 0.598 88.233 114.664 0.010 100.000 1.000 40.000 116.479 
0.576 0.598 114.784 156.796 0.010 100.000 2.000 70.000 148.566 
0.576 0.598 157.059 216.421 0.010 100.000 2.000 90.000 217.137 
0.576 0.598 217.630 303.613 0.010 100.000 3.000 100.000 314.183 
0.576 0.598 305.161 408.162 0.010 100.000 3.000 100.000 406.021 
0.576 0.598 408.456 529.755 0.010 100.000 4.000 200.000 532.549 
0.576 0.598 530.602 669.118 0.010 100.000 5.000 300.000 684.496 
0.576 0.598 669.650 841.810 0.010 100.000 7.000 300.000 789.471 
0.576 0.598 844.342 1074.609 0.010 100.000 9.000 400.000 1127.536 
0.576 0.598 1078.719 1460.214 0.010 100.000 20.000 600.000 1578.347 
0.576 0.598 1461.926 2018.565 0.010 100.000 20.000 800.000 2137.608 
0.576 0.598 2021.936 2811.677 0.010 100.000 20.000 1000.000 2737.602 
0.576 0.598 2818.197 3845.808 0.010 100.000 40.000 1000.000 3783.612 
0.576 0.598 3847.228 4993.457 0.010 100.000 40.000 1000.000 5233.263 
0.598 0.623 2.109 16.937 0.010 14.384 1.000 7.000 13.108 
0.598 0.623 17.229 28.622 0.010 61.585 1.000 10.000 27.047 
0.598 0.623 28.649 41.181 0.010 61.585 1.000 20.000 43.658 
0.598 0.623 41.228 54.631 0.010 61.585 1.000 20.000 48.790 
0.598 0.623 54.657 69.466 0.010 100.000 1.000 30.000 71.689 
0.598 0.623 69.529 87.365 0.010 100.000 1.000 30.000 88.418 
0.598 0.623 87.471 113.452 0.010 100.000 1.000 50.000 115.009 
0.598 0.623 113.707 155.597 0.010 100.000 1.000 70.000 157.143 
0.598 0.623 155.883 215.328 0.010 100.000 2.000 100.000 213.274 
0.598 0.623 215.618 299.788 0.010 100.000 3.000 100.000 285.438 
0.598 0.623 300.706 405.787 0.010 100.000 3.000 100.000 419.567 
0.598 0.623 406.009 524.040 0.010 100.000 4.000 200.000 529.306 
0.598 0.623 526.274 660.866 0.010 100.000 5.000 300.000 605.681 
0.598 0.623 661.067 827.445 0.010 100.000 8.000 300.000 758.293 
0.598 0.623 831.090 1055.998 0.010 100.000 8.000 400.000 1071.743 
0.598 0.623 1059.801 1432.387 0.010 100.000 10.000 700.000 1405.537 
0.598 0.623 1435.616 1996.563 0.010 100.000 20.000 1000.000 1868.866 
0.598 0.623 2001.502 2816.469 0.010 100.000 20.000 1000.000 2661.469 
0.598 0.623 2822.468 3835.943 0.010 100.000 30.000 1000.000 3719.927 
0.598 0.623 3838.130 4998.286 0.010 100.000 40.000 1000.000 4542.257 
0.623 0.655 2.354 17.205 0.010 37.927 1.000 7.000 11.942 
0.623 0.655 17.229 29.136 0.010 37.927 1.000 10.000 26.164 
0.623 0.655 29.165 41.843 0.010 37.927 1.000 10.000 42.345 
0.623 0.655 41.898 55.049 0.010 37.927 1.000 20.000 55.579 
