Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.538 0.575 1.833 9.150 0.043 5.456 1.000 4.000 7.958
0.538 0.576 9.179 15.931 0.070 14.384 1.000 8.000 14.153
0.538 0.576 16.018 22.821 0.043 14.384 1.000 10.000 25.013
0.538 0.576 22.885 32.460 0.070 14.384 2.000 10.000 27.089
0.538 0.576 32.480 47.978 0.043 23.357 2.000 20.000 50.042
0.538 0.575 48.197 72.124 0.043 14.384 3.000 30.000 69.957
0.538 0.575 72.520 137.255 0.043 37.927 4.000 70.000 117.110
0.538 0.576 137.790 232.796 0.043 100.000 4.000 100.000 227.922
0.538 0.576 233.032 313.674 0.043 8.859 20.000 100.000 278.476
0.538 0.576 314.685 391.219 0.070 14.384 30.000 200.000 413.852
0.538 0.575 392.006 475.707 0.043 8.859 30.000 200.000 527.108
0.538 0.576 475.892 571.503 0.043 14.384 40.000 200.000 620.495
0.538 0.576 571.910 689.608 0.026 14.384 40.000 300.000 679.982
0.538 0.576 689.712 861.244 0.043 14.384 50.000 400.000 815.589
0.538 0.576 861.966 1351.318 0.043 37.927 50.000 600.000 1248.551
0.538 0.576 1355.847 1958.402 0.070 23.357 90.000 1000.000 2163.440
0.538 0.576 1966.749 2616.674 0.070 8.859 200.000 1000.000 2661.782
0.538 0.576 2625.530 3339.611 0.043 14.384 200.000 1000.000 3717.402
0.538 0.575 3342.688 4114.079 0.043 100.000 60.000 1000.000 4490.386
0.539 0.576 4120.973 4997.138 0.043 23.357 300.000 1000.000 5447.595
0.576 0.613 2.004 9.145 0.043 8.859 1.000 4.000 7.690
0.576 0.613 9.156 16.121 0.043 8.859 1.000 8.000 15.023
0.576 0.613 16.147 22.896 0.070 14.384 1.000 10.000 21.765
0.576 0.613 22.961 31.939 0.043 14.384 2.000 10.000 27.096
0.576 0.613 32.126 48.566 0.043 14.384 3.000 20.000 44.106
0.576 0.613 48.880 78.340 0.043 14.384 4.000 30.000 73.694
0.576 0.613 78.498 178.590 0.043 8.859 7.000 90.000 93.594
0.576 0.613 178.940 276.141 0.043 8.859 20.000 100.000 270.969
0.576 0.613 276.917 352.562 0.043 8.859 30.000 100.000 389.400
0.576 0.613 352.995 428.453 0.043 8.859 30.000 200.000 405.234
0.576 0.613 428.851 510.691 0.043 8.859 40.000 200.000 485.757
0.576 0.613 510.930 607.817 0.070 8.859 40.000 300.000 590.391
0.576 0.613 608.065 722.344 0.070 14.384 40.000 300.000 714.296
0.576 0.613 722.863 906.069 0.070 14.384 50.000 400.000 993.742
0.576 0.613 906.605 1490.643 0.070 23.357 80.000 700.000 1308.268
0.576 0.613 1497.060 2076.534 0.070 23.357 70.000 900.000 2070.221
0.576 0.613 2081.580 2732.005 0.070 8.859 200.000 1000.000 2853.450
0.576 0.613 2737.392 3444.091 0.043 61.585 70.000 1000.000 3646.197
0.576 0.613 3447.154 4184.800 0.070 14.384 300.000 1000.000 4449.357
0.576 0.613 4196.782 4994.516 0.070 14.384 300.000 1000.000 5460.254
0.614 0.655 1.920 9.140 0.070 5.456 1.000 4.000 7.430
0.614 0.655 9.159 16.179 0.070 8.859 1.000 7.000 14.676
