Ice-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.450 0.495 1648.888 2326.778 0.043 37.927 70.000 1000.000 2373.877
0.450 0.495 2326.778 3054.588 0.026 14.384 200.000 1000.000 2956.536
0.450 0.495 3054.588 3947.057 0.043 14.384 200.000 1000.000 3808.737
0.450 0.495 3947.057 4999.954 0.026 37.927 200.000 1000.000 5528.138
0.495 0.535 1.719 9.184 0.043 8.859 1.000 4.000 7.914
0.495 0.535 9.184 16.080 0.043 14.384 1.000 9.000 13.948
0.495 0.535 16.080 23.207 0.070 8.859 2.000 10.000 23.914
0.495 0.535 23.207 32.608 0.043 14.384 2.000 10.000 28.810
0.495 0.535 32.608 46.562 0.043 14.384 2.000 20.000 40.293
0.495 0.535 46.562 66.215 0.043 14.384 4.000 30.000 70.665
0.495 0.535 66.215 98.245 0.043 14.384 6.000 50.000 81.110
0.495 0.535 98.245 183.224 0.043 8.859 8.000 90.000 168.000
0.495 0.535 183.224 259.907 0.043 14.384 20.000 100.000 296.803
0.495 0.535 259.907 337.727 0.043 14.384 20.000 100.000 368.512
0.495 0.535 337.727 423.290 0.043 8.859 30.000 200.000 531.846
0.495 0.535 423.290 522.235 0.043 8.859 30.000 200.000 516.845
0.495 0.535 522.235 643.035 0.043 23.357 40.000 300.000 645.459
0.495 0.535 643.035 808.512 0.043 23.357 40.000 400.000 925.147
0.495 0.535 808.512 1199.351 0.043 23.357 50.000 600.000 1152.814
0.495 0.535 1199.351 1830.973 0.043 23.357 60.000 900.000 2021.783
0.495 0.535 1830.973 2488.161 0.043 8.859 200.000 1000.000 2635.907
0.495 0.535 2488.161 3193.542 0.043 37.927 100.000 1000.000 3046.822
0.495 0.535 3193.542 4028.770 0.070 8.859 300.000 1000.000 3840.315
0.495 0.535 4028.770 4999.882 0.043 14.384 300.000 1000.000 4792.883
0.535 0.572 1.749 9.180 0.043 5.456 1.000 4.000 7.958
0.535 0.572 9.180 15.997 0.070 14.384 1.000 8.000 14.153
0.535 0.572 15.997 22.843 0.043 14.384 1.000 10.000 25.013
0.535 0.572 22.843 32.493 0.070 14.384 2.000 10.000 27.089
0.535 0.572 32.493 48.002 0.043 23.357 2.000 20.000 50.042
0.535 0.572 48.002 71.296 0.043 14.384 3.000 30.000 69.957
0.535 0.572 71.296 133.024 0.043 37.927 4.000 70.000 117.110
0.535 0.572 133.024 228.428 0.043 100.000 4.000 100.000 227.922
0.535 0.572 228.428 310.373 0.043 8.859 20.000 100.000 278.476
0.535 0.572 310.373 386.934 0.070 14.384 30.000 200.000 413.852
0.535 0.572 386.934 471.430 0.043 8.859 30.000 200.000 527.108
0.535 0.572 471.430 568.039 0.043 14.384 40.000 200.000 620.495
0.535 0.572 568.039 687.001 0.026 14.384 40.000 300.000 679.982
0.535 0.572 687.001 857.702 0.043 14.384 50.000 400.000 815.589
0.535 0.572 857.702 1336.082 0.043 37.927 50.000 600.000 1248.551
0.535 0.572 1336.082 1951.718 0.070 23.357 90.000 1000.000 2163.440
0.535 0.572 1951.718 2606.033 0.070 8.859 200.000 1000.000 2661.782
0.535 0.572 2606.033 3325.925 0.043 14.384 200.000 1000.000 3717.402
0.535 0.572 3325.925 4109.893 0.043 100.000 60.000 1000.000 4490.386
0.535 0.572 4109.893 4999.966 0.043 23.357 300.000 1000.000 5447.595
0.572 0.610 1.779 9.135 0.043 8.859 1.000 4.000 7.690
0.572 0.610 9.135 16.106 0.043 8.859 1.000 8.000 15.023
0.572 0.610 16.106 22.943 0.070 14.384 1.000 10.000 21.765
0.572 0.610 22.943 32.084 0.043 14.384 2.000 10.000 27.096
0.572 0.610 32.084 48.795 0.043 14.384 3.000 20.000 44.106
0.572 0.610 48.795 78.233 0.043 14.384 4.000 30.000 73.694
0.572 0.610 78.233 176.596 0.043 8.859 7.000 90.000 93.594
0.572 0.610 176.596 273.796 0.043 8.859 20.000 100.000 270.969
0.572 0.610 273.796 350.429 0.043 8.859 30.000 100.000 389.400
0.572 0.610 350.429 426.479 0.043 8.859 30.000 200.000 405.234
0.572 0.610 426.479 508.629 0.043 8.859 40.000 200.000 485.757
0.572 0.610 508.629 605.859 0.070 8.859 40.000 300.000 590.391
0.572 0.610 605.859 720.120 0.070 14.384 40.000 300.000 714.296
0.572 0.610 720.120 904.277 0.070 14.384 50.000 400.000 993.742
0.572 0.610 904.277 1482.910 0.070 23.357 80.000 700.000 1308.268
0.572 0.610 1482.910 2066.077 0.070 23.357 70.000 900.000 2070.221
0.572 0.610 2066.077 2726.587 0.070 8.859 200.000 1000.000 2853.450
0.572 0.610 2726.587 3437.421 0.043 61.585 70.000 1000.000 3646.197
0.572 0.610 3437.421 4188.157 0.070 14.384 300.000 1000.000 4449.357
0.572 0.610 4188.157 4999.755 0.070 14.384 300.000 1000.000 5460.254
0.610 0.652 1.753 9.151 0.070 5.456 1.000 4.000 7.430
0.610 0.652 9.151 16.192 0.070 8.859 1.000 7.000 14.676
0.610 0.652 16.192 23.109 0.070 14.384 1.000 10.000 23.183
0.610 0.652 23.109 32.062 0.070 8.859 2.000 10.000 30.581
0.610 0.652 32.062 48.706 0.043 8.859 3.000 20.000 45.218
0.610 0.652 48.706 85.752 0.043 37.927 3.000 40.000 58.202
0.610 0.652 85.752 213.665 0.043 8.859 6.000 100.000 145.515
0.610 0.652 213.665 305.003 0.070 8.859 20.000 100.000 306.677
0.610 0.652 305.003 376.364 0.070 8.859 30.000 200.000 353.735
0.610 0.652 376.364 449.166 0.070 8.859 30.000 200.000 428.002
0.610 0.652 449.166 531.271 0.043 8.859 40.000 200.000 578.818
0.610 0.652 531.271 624.040 0.070 14.384 40.000 300.000 694.306
0.610 0.652 624.040 738.228 0.070 8.859 50.000 300.000 816.789
0.610 0.652 738.228 922.519 0.043 14.384 60.000 400.000 837.811
0.610 0.652 922.519 1549.727 0.043 23.357 50.000 700.000 1361.457
0.610 0.652 1549.727 2144.778 0.043 14.384 100.000 900.000 2038.719
0.610 0.652 2144.778 2800.340 0.070 14.384 200.000 1000.000 2994.465
0.610 0.652 2800.340 3472.696 0.043 14.384 200.000 1000.000 3754.102
